TYPE,ID,EMPLOYEE,Supplier,Cuenta,Proyecto,Producto,Rubro,Descripcion,Currency,"Net amount","Tax amount","Gross amount",State,"Asked at",Mes,Semana,Notes,"Additional info","Link to the request"
BUDGET,A-10,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS DE PERSONAL","CHOFER QUINCENA",,,,8308.84,0-BUDGET,05/01/2015,01/2015,02-15,,,
BUDGET,A-11,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS DE PERSONAL","CHOFER QUINCENA",,,,4154.42,0-BUDGET,09/02/2015,02/2015,07-15,,,
BUDGET,A-12,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS DE PERSONAL","CHOFER QUINCENA",,,,0.03,0-BUDGET,09/03/2015,03/2015,11-15,,,
BUDGET,A-13,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS DE PERSONAL","CHOFER QUINCENA",,,,4154.42,0-BUDGET,16/03/2015,03/2015,12-15,,,
BUDGET,A-14,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS DE PERSONAL","CHOFER QUINCENA",,,,4154.42,0-BUDGET,23/03/2015,03/2015,13-15,,,
BUDGET,A-15,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS DE PERSONAL","ASISTENTE DE MONTAJE QUINCENA",,,,8485.4,0-BUDGET,05/01/2015,01/2015,02-15,,,
BUDGET,A-16,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS DE PERSONAL","ASISTENTE DE MONTAJE QUINCENA",,,,4242.7,0-BUDGET,09/02/2015,02/2015,07-15,,,
BUDGET,A-17,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS DE PERSONAL","ASISTENTE DE MONTAJE QUINCENA",,,,0.03,0-BUDGET,09/03/2015,03/2015,11-15,,,
BUDGET,A-18,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS DE PERSONAL","ASISTENTE DE MONTAJE QUINCENA",,,,4242.7,0-BUDGET,16/03/2015,03/2015,12-15,,,
BUDGET,A-19,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS DE PERSONAL","ASISTENTE DE MONTAJE QUINCENA",,,,4242.7,0-BUDGET,23/03/2015,03/2015,13-15,,,
BUDGET,A-20,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS DE PERSONAL","PRODUCTOR FINIQUITOS",,,,1165.4,0-BUDGET,23/03/2015,03/2015,13-15,,,
BUDGET,A-21,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS DE PERSONAL","ANIMADOR FINIQUITOS",,,,661.2,0-BUDGET,23/03/2015,03/2015,13-15,,,
BUDGET,A-22,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS DE PERSONAL","CHOFER FINIQUITOS",,,,1359.63,0-BUDGET,23/03/2015,03/2015,13-15,,,
BUDGET,A-23,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS DE PERSONAL","ASISTENTE DE MONTAJE FINIQUITOS",,,,1388.52,0-BUDGET,23/03/2015,03/2015,13-15,,,
BUDGET,A-24,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,IMPRESOS,"VOLANTES PARA EL EVENTO",,,,417.6,0-BUDGET,05/01/2015,01/2015,02-15,,,
BUDGET,A-25,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,IMPRESOS,"VOLANTES PARA EL EVENTO",,,,208.8,0-BUDGET,09/02/2015,02/2015,07-15,,,
BUDGET,A-26,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,IMPRESOS,"VOLANTES PARA EL EVENTO",,,,0.03,0-BUDGET,09/03/2015,03/2015,11-15,,,
BUDGET,A-27,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,IMPRESOS,"VOLANTES PARA EL EVENTO",,,,208.8,0-BUDGET,16/03/2015,03/2015,12-15,,,
BUDGET,A-28,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,IMPRESOS,"VOLANTES PARA EL EVENTO",,,,208.8,0-BUDGET,23/03/2015,03/2015,13-15,,,
BUDGET,A-29,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION","GASOLINA PERIFONEO",,,,1218,0-BUDGET,05/01/2015,01/2015,02-15,,,
BUDGET,A-30,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION","GASOLINA PERIFONEO",,,,696,0-BUDGET,09/02/2015,02/2015,07-15,,,
BUDGET,A-31,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION","GASOLINA PERIFONEO",,,,522,0-BUDGET,09/03/2015,03/2015,11-15,,,
BUDGET,A-32,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION","GASOLINA PERIFONEO",,,,522,0-BUDGET,16/03/2015,03/2015,12-15,,,
BUDGET,A-33,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION","GASOLINA PERIFONEO",,,,522,0-BUDGET,23/03/2015,03/2015,13-15,,,
BUDGET,A-34,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION","GASOLINA PLANTAS DE LUZ",,,,1624,0-BUDGET,05/01/2015,01/2015,02-15,,,
BUDGET,A-35,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION","GASOLINA PLANTAS DE LUZ",,,,928,0-BUDGET,09/02/2015,02/2015,07-15,,,
BUDGET,A-36,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION","GASOLINA PLANTAS DE LUZ",,,,696,0-BUDGET,09/03/2015,03/2015,11-15,,,
BUDGET,A-37,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION","GASOLINA PLANTAS DE LUZ",,,,696,0-BUDGET,16/03/2015,03/2015,12-15,,,
BUDGET,A-38,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION","GASOLINA PLANTAS DE LUZ",,,,696,0-BUDGET,23/03/2015,03/2015,13-15,,,
BUDGET,A-39,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION","GASOLINA CAMIONETAS CINE",,,,1392,0-BUDGET,05/01/2015,01/2015,02-15,,,
BUDGET,A-40,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION","GASOLINA CAMIONETAS CINE",,,,696,0-BUDGET,09/02/2015,02/2015,07-15,,,
BUDGET,A-41,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION","GASOLINA CAMIONETAS CINE",,,,696,0-BUDGET,09/03/2015,03/2015,11-15,,,
BUDGET,A-42,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION","GASOLINA CAMIONETAS CINE",,,,696,0-BUDGET,16/03/2015,03/2015,12-15,,,
BUDGET,A-43,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION","GASOLINA CAMIONETAS CINE",,,,696,0-BUDGET,23/03/2015,03/2015,13-15,,,
BUDGET,A-44,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION",PALOMITAS,,,,2080,0-BUDGET,05/01/2015,01/2015,02-15,,,
BUDGET,A-45,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION",PALOMITAS,,,,1040,0-BUDGET,09/02/2015,02/2015,07-15,,,
BUDGET,A-46,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION",PALOMITAS,,,,1040,0-BUDGET,09/03/2015,03/2015,11-15,,,
BUDGET,A-47,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION",PALOMITAS,,,,1040,0-BUDGET,16/03/2015,03/2015,12-15,,,
BUDGET,A-48,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION",PALOMITAS,,,,1040,0-BUDGET,23/03/2015,03/2015,13-15,,,
BUDGET,A-49,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION","BOLSA PALOMITAS",,,,2160,0-BUDGET,05/01/2015,01/2015,02-15,,,
BUDGET,A-50,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION","BOLSA PALOMITAS",,,,1080,0-BUDGET,09/02/2015,02/2015,07-15,,,
BUDGET,A-51,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION","BOLSA PALOMITAS",,,,1080,0-BUDGET,09/03/2015,03/2015,11-15,,,
BUDGET,A-52,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION","BOLSA PALOMITAS",,,,1080,0-BUDGET,16/03/2015,03/2015,12-15,,,
BUDGET,A-53,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION","BOLSA PALOMITAS",,,,1080,0-BUDGET,23/03/2015,03/2015,13-15,,,
BUDGET,A-54,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION",LONAS,,,,3480,0-BUDGET,05/01/2015,01/2015,02-15,,,
BUDGET,A-55,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION",LONAS,,,,1740,0-BUDGET,09/02/2015,02/2015,07-15,,,
BUDGET,A-56,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION",LONAS,,,,1740,0-BUDGET,09/03/2015,03/2015,11-15,,,
BUDGET,A-57,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION",LONAS,,,,1740,0-BUDGET,16/03/2015,03/2015,12-15,,,
BUDGET,A-58,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION",LONAS,,,,1740,0-BUDGET,23/03/2015,03/2015,13-15,,,
BUDGET,A-59,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION","DERECHOS DE PROYECCION",,,,4640,0-BUDGET,05/01/2015,01/2015,02-15,,,
BUDGET,A-60,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION","DERECHOS DE PROYECCION",,,,2320,0-BUDGET,09/02/2015,02/2015,07-15,,,
BUDGET,A-61,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION","DERECHOS DE PROYECCION",,,,2320,0-BUDGET,09/03/2015,03/2015,11-15,,,
BUDGET,A-62,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION","DERECHOS DE PROYECCION",,,,2320,0-BUDGET,16/03/2015,03/2015,12-15,,,
BUDGET,A-63,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"GASTOS X FUNCION","DERECHOS DE PROYECCION",,,,2320,0-BUDGET,23/03/2015,03/2015,13-15,,,
BUDGET,A-64,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"RENTAS ACTIVOS","MANTENIMIENTO DE EQUIPOS",,,,4060,0-BUDGET,23/03/2015,03/2015,13-15,,,
BUDGET,A-65,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"RENTAS ACTIVOS","GASOLINA PLANTA DE LUZ",,,,1160,0-BUDGET,05/01/2015,01/2015,02-15,,,
BUDGET,A-66,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"RENTAS ACTIVOS","GASOLINA PLANTA DE LUZ",,,,580,0-BUDGET,09/02/2015,02/2015,07-15,,,
BUDGET,A-67,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"RENTAS ACTIVOS","GASOLINA PLANTA DE LUZ",,,,580,0-BUDGET,09/03/2015,03/2015,11-15,,,
BUDGET,A-68,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"RENTAS ACTIVOS","GASOLINA PLANTA DE LUZ",,,,580,0-BUDGET,16/03/2015,03/2015,12-15,,,
BUDGET,A-69,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"RENTAS ACTIVOS","GASOLINA PLANTA DE LUZ",,,,580,0-BUDGET,23/03/2015,03/2015,13-15,,,
BUDGET,A-70,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"TRASLADO DE MATERIALES","TRASLADO DE MATERIALES",,,,1392,0-BUDGET,05/01/2015,01/2015,02-15,,,
BUDGET,A-71,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"TRASLADO DE MATERIALES","TRASLADO DE MATERIALES",,,,696,0-BUDGET,09/02/2015,02/2015,07-15,,,
BUDGET,A-72,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"TRASLADO DE MATERIALES","TRASLADO DE MATERIALES",,,,696,0-BUDGET,09/03/2015,03/2015,11-15,,,
BUDGET,A-73,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"TRASLADO DE MATERIALES","TRASLADO DE MATERIALES",,,,696,0-BUDGET,16/03/2015,03/2015,12-15,,,
BUDGET,A-74,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"TRASLADO DE MATERIALES","TRASLADO DE MATERIALES",,,,696,0-BUDGET,23/03/2015,03/2015,13-15,,,
BUDGET,A-75,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,VIATICOS,"ALIMENTOS CINE LOCAL",,,,2458.58,0-BUDGET,05/01/2015,01/2015,02-15,,,
BUDGET,A-76,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,VIATICOS,"ALIMENTOS CINE LOCAL",,,,1404.9,0-BUDGET,09/02/2015,02/2015,07-15,,,
BUDGET,A-77,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,VIATICOS,"ALIMENTOS CINE LOCAL",,,,1053.68,0-BUDGET,09/03/2015,03/2015,11-15,,,
BUDGET,A-78,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,VIATICOS,"ALIMENTOS CINE LOCAL",,,,1053.68,0-BUDGET,16/03/2015,03/2015,12-15,,,
BUDGET,A-79,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,VIATICOS,"ALIMENTOS CINE LOCAL",,,,1053.68,0-BUDGET,23/03/2015,03/2015,13-15,,,
BUDGET,A-80,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,VIATICOS,"HOSPEDAJE CINE LOCAL",,,,14577.5,0-BUDGET,05/01/2015,01/2015,02-15,,,
BUDGET,A-81,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,VIATICOS,"HOSPEDAJE CINE LOCAL",,,,8330,0-BUDGET,09/02/2015,02/2015,07-15,,,
BUDGET,A-82,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,VIATICOS,"HOSPEDAJE CINE LOCAL",,,,6247.5,0-BUDGET,09/03/2015,03/2015,11-15,,,
BUDGET,A-83,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,VIATICOS,"HOSPEDAJE CINE LOCAL",,,,6247.5,0-BUDGET,16/03/2015,03/2015,12-15,,,
BUDGET,A-84,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,VIATICOS,"HOSPEDAJE CINE LOCAL",,,,6247.5,0-BUDGET,23/03/2015,03/2015,13-15,,,
BUDGET,A-85,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"ARTICULOS DE USOS MULTIPLES","MATERIAL DE LIMPIEZA",,,,232,0-BUDGET,05/01/2015,01/2015,02-15,,,
BUDGET,A-86,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"ARTICULOS DE USOS MULTIPLES","MATERIAL DE LIMPIEZA",,,,116,0-BUDGET,09/02/2015,02/2015,07-15,,,
BUDGET,A-87,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"ARTICULOS DE USOS MULTIPLES","MATERIAL DE LIMPIEZA",,,,116,0-BUDGET,09/03/2015,03/2015,11-15,,,
BUDGET,A-88,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"ARTICULOS DE USOS MULTIPLES","MATERIAL DE LIMPIEZA",,,,116,0-BUDGET,16/03/2015,03/2015,12-15,,,
BUDGET,A-89,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"ARTICULOS DE USOS MULTIPLES","MATERIAL DE LIMPIEZA",,,,116,0-BUDGET,23/03/2015,03/2015,13-15,,,
BUDGET,A-90,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"ARTICULOS DE USOS MULTIPLES","MATERIALES PARA INSTALACION DEL CINE",,,,812,0-BUDGET,05/01/2015,01/2015,02-15,,,
BUDGET,A-91,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"ARTICULOS DE USOS MULTIPLES","MATERIALES PARA INSTALACION DEL CINE",,,,406,0-BUDGET,09/02/2015,02/2015,07-15,,,
BUDGET,A-92,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"ARTICULOS DE USOS MULTIPLES","MATERIALES PARA INSTALACION DEL CINE",,,,406,0-BUDGET,09/03/2015,03/2015,11-15,,,
BUDGET,A-93,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"ARTICULOS DE USOS MULTIPLES","MATERIALES PARA INSTALACION DEL CINE",,,,406,0-BUDGET,16/03/2015,03/2015,12-15,,,
BUDGET,A-94,,,"COSTO DE VENTAS",MOVI-CENTRO,CINE,"ARTICULOS DE USOS MULTIPLES","MATERIALES PARA INSTALACION DEL CINE",,,,406,0-BUDGET,23/03/2015,03/2015,13-15,,,
BUDGET,A-95,,,"COSTOS OPERATIVOS",MOVI-CENTRO,CINE,"GASTOS GOBIERNO","TRASLADOS SCOUTERS",,,,232,0-BUDGET,05/01/2015,01/2015,02-15,,,
BUDGET,A-96,,,"COSTOS OPERATIVOS",MOVI-CENTRO,CINE,"GASTOS GOBIERNO","TRASLADOS SCOUTERS",,,,232,0-BUDGET,12/01/2015,01/2015,03-15,,,
BUDGET,A-97,,,"COSTOS OPERATIVOS",MOVI-CENTRO,CINE,"GASTOS GOBIERNO","TRASLADOS SCOUTERS",,,,232,0-BUDGET,26/01/2015,01/2015,05-15,,,
BUDGET,A-98,,,"COSTOS OPERATIVOS",MOVI-CENTRO,CINE,"GASTOS GOBIERNO","TRASLADOS SCOUTERS",,,,232,0-BUDGET,09/02/2015,02/2015,07-15,,,
BUDGET,A-99,,,"COSTOS OPERATIVOS",MOVI-CENTRO,CINE,"GASTOS GOBIERNO","TRASLADOS SCOUTERS",,,,232,0-BUDGET,09/03/2015,03/2015,11-15,,,
BUDGET,A-100,,,"COSTOS OPERATIVOS",MOVI-CENTRO,CINE,"GASTOS GOBIERNO","TRASLADOS SCOUTERS",,,,232,0-BUDGET,16/03/2015,03/2015,12-15,,,
BUDGET,A-101,,,"COSTOS OPERATIVOS",MOVI-CENTRO,CINE,"GASTOS GOBIERNO",PAPELERIA,,,,116,0-BUDGET,05/01/2015,01/2015,02-15,,,
BUDGET,A-102,,,"COSTOS OPERATIVOS",MOVI-CENTRO,CINE,"GASTOS GOBIERNO",PAPELERIA,,,,116,0-BUDGET,12/01/2015,01/2015,03-15,,,
BUDGET,A-103,,,"COSTOS OPERATIVOS",MOVI-CENTRO,CINE,"GASTOS GOBIERNO",PAPELERIA,,,,116,0-BUDGET,26/01/2015,01/2015,05-15,,,
BUDGET,A-104,,,"COSTOS OPERATIVOS",MOVI-CENTRO,CINE,"GASTOS GOBIERNO",PAPELERIA,,,,116,0-BUDGET,09/02/2015,02/2015,07-15,,,
BUDGET,A-105,,,"COSTOS OPERATIVOS",MOVI-CENTRO,CINE,"GASTOS GOBIERNO",PAPELERIA,,,,116,0-BUDGET,09/03/2015,03/2015,11-15,,,
BUDGET,A-106,,,"COSTOS OPERATIVOS",MOVI-CENTRO,CINE,"GASTOS GOBIERNO",PAPELERIA,,,,116,0-BUDGET,16/03/2015,03/2015,12-15,,,
BUDGET,A-107,,,"COSTOS OPERATIVOS",MOVI-CENTRO,DATOS,"RENTA ACTIVOS TI",TELEFONOS,,,,580,0-BUDGET,05/01/2015,01/2015,02-15,,,
BUDGET,A-108,,,"COSTOS OPERATIVOS",MOVI-CENTRO,DATOS,"RENTA ACTIVOS TI",TELEFONOS,,,,580,0-BUDGET,02/02/2015,02/2015,06-15,,,
BUDGET,A-109,,,"COSTOS OPERATIVOS",MOVI-CENTRO,DATOS,"RENTA ACTIVOS TI","TELEFONOS ODK",,,,464,0-BUDGET,05/01/2015,01/2015,02-15,,,
BUDGET,A-110,,,"COSTOS OPERATIVOS",MOVI-CENTRO,DATOS,"RENTA ACTIVOS TI","TELEFONOS ODK",,,,464,0-BUDGET,02/02/2015,02/2015,06-15,,,
BUDGET,B-111,,,"COSTOS DE VENTA","ALEN PROMOCION",COMERCIAL,"VENTA DE SERVICIOS","VUELO DE PRESENTACION",,,,5220,0-BUDGET,05/01/2015,01/2015,02-15,,,
BUDGET,B-112,,,"COSTOS DE VENTA","ALEN PROMOCION",COMERCIAL,"VENTA DE SERVICIOS","TRASLADOS PRESENTACION",,,,1500,0-BUDGET,05/01/2015,01/2015,02-15,,,
BUDGET,B-113,,,"COSTOS DE VENTA","ALEN PROMOCION",COMERCIAL,"VENTA DE SERVICIOS","VIATICOS MTY",,,,1160,0-BUDGET,05/01/2015,01/2015,02-15,,,
BUDGET,C-114,,,"COSTO DE VENTAS","PRONAPRED ZIHUATANEJO 2015",CINE,"GASTOS DE PERSONAL",PRODUCTOR,,,,1582,0-BUDGET,16/02/2015,02/2015,08-15,,,
BUDGET,C-115,,,"COSTO DE VENTAS","PRONAPRED ZIHUATANEJO 2015",CINE,"GASTOS DE PERSONAL",CHOFER,,,,1006,0-BUDGET,16/02/2015,02/2015,08-15,,,
BUDGET,C-116,,,"COSTO DE VENTAS","PRONAPRED ZIHUATANEJO 2015",CINE,"GASTOS DE PERSONAL","ASISTENTE DE MONTAJE",,,,863,0-BUDGET,16/02/2015,02/2015,08-15,,,
BUDGET,C-117,,,"COSTO DE VENTAS","PRONAPRED ZIHUATANEJO 2015",CINE,"GASTOS DE PERSONAL",ANIMADOR,,,,1438,0-BUDGET,16/02/2015,02/2015,08-15,,,
BUDGET,C-118,,,"COSTO DE VENTAS","PRONAPRED ZIHUATANEJO 2015",CINE,"GASTOS DE PERSONAL","PRODUCTOR - FINIQUITO",,,,76,0-BUDGET,16/02/2015,02/2015,08-15,,,
BUDGET,C-119,,,"COSTO DE VENTAS","PRONAPRED ZIHUATANEJO 2015",CINE,"GASTOS DE PERSONAL","CHOFER- FINIQUITO",,,,48,0-BUDGET,16/02/2015,02/2015,08-15,,,
BUDGET,C-120,,,"COSTO DE VENTAS","PRONAPRED ZIHUATANEJO 2015",CINE,"GASTOS DE PERSONAL","ASISTENTE DE MONTAJE - FINIQUITO",,,,41,0-BUDGET,16/02/2015,02/2015,08-15,,,
BUDGET,C-121,,,"COSTO DE VENTAS","PRONAPRED ZIHUATANEJO 2015",CINE,"GASTOS DE PERSONAL","ANIMADOR - FINIQUITO",,,,69,0-BUDGET,16/02/2015,02/2015,08-15,,,
BUDGET,C-122,,,"COSTO DE VENTAS","PRONAPRED ZIHUATANEJO 2015",CINE,IMPRESOS,"BRANDEO CARTELERA",,,,2088,0-BUDGET,16/02/2015,02/2015,08-15,,,
BUDGET,C-123,,,"COSTO DE VENTAS","PRONAPRED ZIHUATANEJO 2015",CINE,IMPRESOS,LONAS,,,,522,0-BUDGET,16/02/2015,02/2015,08-15,,,
BUDGET,C-124,,,"COSTO DE VENTAS","PRONAPRED ZIHUATANEJO 2015",CINE,"GASTOS X FUNCION","GASOLINA CAMIONETAS CINE",,,,696,0-BUDGET,16/02/2015,02/2015,08-15,,,
BUDGET,C-125,,,"COSTO DE VENTAS","PRONAPRED ZIHUATANEJO 2015",CINE,"GASTOS X FUNCION",PALOMITAS,,,,1206,0-BUDGET,16/02/2015,02/2015,08-15,,,
BUDGET,C-126,,,"COSTO DE VENTAS","PRONAPRED ZIHUATANEJO 2015",CINE,"GASTOS X FUNCION","BOLSA PALOMITAS",,,,1252,0-BUDGET,16/02/2015,02/2015,08-15,,,
BUDGET,C-127,,,"COSTO DE VENTAS","PRONAPRED ZIHUATANEJO 2015",CINE,"GASTOS X FUNCION","REFRESCO 2 LITROS",,,,699,0-BUDGET,16/02/2015,02/2015,08-15,,,
BUDGET,C-128,,,"COSTO DE VENTAS","PRONAPRED ZIHUATANEJO 2015",CINE,"GASTOS X FUNCION",VASOS,,,,835,0-BUDGET,16/02/2015,02/2015,08-15,,,
BUDGET,C-129,,,"COSTO DE VENTAS","PRONAPRED ZIHUATANEJO 2015",CINE,"RENTAS ACTIVOS","RENTA PLANTA DE LUZ O GASOLINA PARA PLANTAS",,,,1160,0-BUDGET,16/02/2015,02/2015,08-15,,,
BUDGET,C-130,,,"COSTO DE VENTAS","PRONAPRED ZIHUATANEJO 2015",CINE,VIATICOS,"ALIMENTOS CINE FORANEO",,,,1338,0-BUDGET,16/02/2015,02/2015,08-15,,,
BUDGET,C-131,,,"COSTO DE VENTAS","PRONAPRED ZIHUATANEJO 2015",CINE,VIATICOS,"HOSPEDAJE CINE FORANEO",,,,2380,0-BUDGET,16/02/2015,02/2015,08-15,,,
BUDGET,C-132,,,"COSTO DE VENTAS","PRONAPRED ZIHUATANEJO 2015",CINE,"ARTICULOS DE USOS MULTIPLES","INSUMOS CINE",,,,406,0-BUDGET,16/02/2015,02/2015,08-15,,,
